order_id,invoice_number,order_date,order_time,product_name,brand_name,sub_category,qty,total_amount,customer_number,salesperson_name,store_name
ORD1026,INV-20026,2026-05-30,14:16:58,SWISS BEAUTY Premium Cosmetics,SWISS BEAUTY,Cosmetics,1,3191.65,CUST145,Alice,Brigade Road Flagship
ORD1027,INV-20027,2026-05-26,13:16:58,LAKME Premium Cosmetics,LAKME,Cosmetics,1,2152.66,CUST265,Bob,Brigade Road Flagship
ORD1028,INV-20028,2026-05-16,13:16:58,FACES CANADA Premium Haircare,FACES CANADA,Haircare,3,1117.81,CUST227,Bob,Brigade Road Flagship
ORD1029,INV-20029,2026-05-29,07:16:58,MAYBELLINE Premium Haircare,MAYBELLINE,Haircare,4,2804.03,CUST246,Bob,Brigade Road Flagship
ORD1030,INV-20030,2026-05-24,15:16:58,FARMSTAY Premium Haircare,FARMSTAY,Haircare,4,3984.92,CUST172,Charlie,Brigade Road Flagship
ORD1031,INV-20031,2026-05-15,16:16:58,MINIMALIST Premium Skincare,MINIMALIST,Skincare,1,2102.63,CUST279,Charlie,Brigade Road Flagship
ORD1032,INV-20032,2026-05-11,10:16:58,PLUM Premium Cosmetics,PLUM,Cosmetics,3,1228.6,CUST197,Charlie,Brigade Road Flagship
ORD1033,INV-20033,2026-05-03,06:16:58,LAKME Premium Skincare,LAKME,Skincare,2,2759.96,CUST140,Alice,Brigade Road Flagship
ORD1034,INV-20034,2026-05-27,09:16:58,MAYBELLINE Premium Fragrance,MAYBELLINE,Fragrance,3,1843.09,CUST193,Charlie,Brigade Road Flagship
ORD1035,INV-20035,2026-05-08,10:16:58,DERMA CO Premium Skincare,DERMA CO,Skincare,1,3167.81,CUST101,Alice,Brigade Road Flagship
ORD1036,INV-20036,2026-05-11,13:16:58,DERMA CO Premium Haircare,DERMA CO,Haircare,3,3015.07,CUST245,Alice,Brigade Road Flagship
ORD1037,INV-20037,2026-05-14,11:16:58,SWISS BEAUTY Premium Fragrance,SWISS BEAUTY,Fragrance,3,4574.27,CUST260,Bob,Brigade Road Flagship
ORD1038,INV-20038,2026-05-28,12:16:58,PLUM Premium Fragrance,PLUM,Fragrance,1,1588.73,CUST218,Alice,Brigade Road Flagship
ORD1039,INV-20039,2026-05-14,11:16:58,SWISS BEAUTY Premium Haircare,SWISS BEAUTY,Haircare,1,535.31,CUST191,Charlie,Brigade Road Flagship
ORD1040,INV-20040,2026-05-08,06:16:58,MAC Premium Fragrance,MAC,Fragrance,4,2531.82,CUST268,Bob,Brigade Road Flagship
ORD1041,INV-20041,2026-05-11,10:16:58,DERMA CO Premium Cosmetics,DERMA CO,Cosmetics,4,2668.96,CUST149,Alice,Brigade Road Flagship
ORD1042,INV-20042,2026-05-18,12:16:58,THE FACE SHOP Premium Haircare,THE FACE SHOP,Haircare,3,1173.37,CUST240,Charlie,Brigade Road Flagship
ORD1043,INV-20043,2026-05-17,14:16:58,MAYBELLINE Premium Haircare,MAYBELLINE,Haircare,2,1393.78,CUST128,Alice,Brigade Road Flagship
ORD1044,INV-20044,2026-05-18,14:16:58,THE FACE SHOP Premium Fragrance,THE FACE SHOP,Fragrance,4,1027.21,CUST207,Bob,Brigade Road Flagship
ORD1045,INV-20045,2026-05-03,09:16:58,MAC Premium Fragrance,MAC,Fragrance,2,1049.29,CUST119,Bob,Brigade Road Flagship
ORD1046,INV-20046,2026-05-06,08:16:58,MINIMALIST Premium Haircare,MINIMALIST,Haircare,1,1484.74,CUST224,Charlie,Brigade Road Flagship
ORD1047,INV-20047,2026-05-21,14:16:58,COSRX Premium Skincare,COSRX,Skincare,2,782.45,CUST214,Charlie,Brigade Road Flagship
ORD1048,INV-20048,2026-05-17,15:16:58,DERMA CO Premium Haircare,DERMA CO,Haircare,4,1800.19,CUST180,Charlie,Brigade Road Flagship
ORD1049,INV-20049,2026-05-28,11:16:58,MINIMALIST Premium Haircare,MINIMALIST,Haircare,1,4100.56,CUST300,Alice,Brigade Road Flagship
ORD1050,INV-20050,2026-05-13,12:16:58,SWISS BEAUTY Premium Haircare,SWISS BEAUTY,Haircare,4,4418.32,CUST166,Alice,Brigade Road Flagship
ORD1051,INV-20051,2026-05-09,12:16:58,PLUM Premium Fragrance,PLUM,Fragrance,2,2221.12,CUST217,Alice,Brigade Road Flagship
ORD1052,INV-20052,2026-05-14,15:16:58,THE FACE SHOP Premium Fragrance,THE FACE SHOP,Fragrance,3,4895.69,CUST196,Alice,Brigade Road Flagship
ORD1053,INV-20053,2026-05-10,08:16:58,FARMSTAY Premium Skincare,FARMSTAY,Skincare,2,3452.72,CUST180,Alice,Brigade Road Flagship
ORD1054,INV-20054,2026-05-15,08:16:58,MAYBELLINE Premium Cosmetics,MAYBELLINE,Cosmetics,3,2876.49,CUST122,Charlie,Brigade Road Flagship
ORD1055,INV-20055,2026-05-31,14:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,3,2209.86,CUST111,Charlie,Brigade Road Flagship
ORD1056,INV-20056,2026-05-14,13:16:58,LAKME Premium Skincare,LAKME,Skincare,3,2044.72,CUST223,Alice,Brigade Road Flagship
ORD1057,INV-20057,2026-06-01,09:16:58,DERMA CO Premium Haircare,DERMA CO,Haircare,1,1945.05,CUST129,Charlie,Brigade Road Flagship
ORD1058,INV-20058,2026-05-12,11:16:58,PLUM Premium Haircare,PLUM,Haircare,4,2085.54,CUST219,Alice,Brigade Road Flagship
ORD1059,INV-20059,2026-05-03,16:16:58,MINIMALIST Premium Cosmetics,MINIMALIST,Cosmetics,4,576.12,CUST282,Alice,Brigade Road Flagship
ORD1060,INV-20060,2026-05-26,13:16:58,MAC Premium Haircare,MAC,Haircare,1,2868.59,CUST269,Bob,Brigade Road Flagship
ORD1061,INV-20061,2026-05-13,08:16:58,DERMA CO Premium Haircare,DERMA CO,Haircare,3,1266.47,CUST260,Alice,Brigade Road Flagship
ORD1062,INV-20062,2026-05-13,12:16:58,DERMA CO Premium Haircare,DERMA CO,Haircare,3,4702.23,CUST138,Charlie,Brigade Road Flagship
ORD1063,INV-20063,2026-05-29,15:16:58,THE FACE SHOP Premium Haircare,THE FACE SHOP,Haircare,1,639.82,CUST240,Bob,Brigade Road Flagship
ORD1064,INV-20064,2026-05-19,10:16:58,MAYBELLINE Premium Cosmetics,MAYBELLINE,Cosmetics,1,2159.17,CUST110,Alice,Brigade Road Flagship
ORD1065,INV-20065,2026-05-13,10:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,2,527.5,CUST143,Charlie,Brigade Road Flagship
ORD1066,INV-20066,2026-05-12,08:16:58,MAC Premium Haircare,MAC,Haircare,4,4954.42,CUST145,Bob,Brigade Road Flagship
ORD1067,INV-20067,2026-05-30,09:16:58,FACES CANADA Premium Cosmetics,FACES CANADA,Cosmetics,1,3649.44,CUST208,Alice,Brigade Road Flagship
ORD1068,INV-20068,2026-05-12,07:16:58,MAYBELLINE Premium Cosmetics,MAYBELLINE,Cosmetics,3,4830.54,CUST293,Charlie,Brigade Road Flagship
ORD1069,INV-20069,2026-05-05,06:16:58,COSRX Premium Cosmetics,COSRX,Cosmetics,3,1017.18,CUST191,Alice,Brigade Road Flagship
ORD1070,INV-20070,2026-05-19,07:16:58,HUDA BEAUTY Premium Haircare,HUDA BEAUTY,Haircare,3,4710.88,CUST293,Bob,Brigade Road Flagship
ORD1071,INV-20071,2026-05-09,12:16:58,MAYBELLINE Premium Skincare,MAYBELLINE,Skincare,3,3514.17,CUST130,Alice,Brigade Road Flagship
ORD1072,INV-20072,2026-05-07,10:16:58,MAC Premium Skincare,MAC,Skincare,1,2127.77,CUST140,Bob,Brigade Road Flagship
ORD1073,INV-20073,2026-05-15,09:16:58,MINIMALIST Premium Haircare,MINIMALIST,Haircare,1,3293.19,CUST154,Bob,Brigade Road Flagship
ORD1074,INV-20074,2026-05-06,16:16:58,COSRX Premium Skincare,COSRX,Skincare,1,3069.39,CUST180,Bob,Brigade Road Flagship
ORD1075,INV-20075,2026-05-25,16:16:58,PLUM Premium Haircare,PLUM,Haircare,4,4357.13,CUST123,Alice,Brigade Road Flagship
ORD1076,INV-20076,2026-05-16,13:16:58,LAKME Premium Skincare,LAKME,Skincare,2,4431.42,CUST287,Charlie,Brigade Road Flagship
ORD1077,INV-20077,2026-05-15,06:16:58,FARMSTAY Premium Skincare,FARMSTAY,Skincare,2,1050.53,CUST187,Charlie,Brigade Road Flagship
ORD1078,INV-20078,2026-05-20,15:16:58,PLUM Premium Skincare,PLUM,Skincare,3,2313.07,CUST181,Alice,Brigade Road Flagship
ORD1079,INV-20079,2026-05-11,11:16:58,MINIMALIST Premium Skincare,MINIMALIST,Skincare,1,3581.96,CUST294,Alice,Brigade Road Flagship
ORD1080,INV-20080,2026-05-29,14:16:58,DERMA CO Premium Skincare,DERMA CO,Skincare,3,4367.38,CUST277,Bob,Brigade Road Flagship
ORD1081,INV-20081,2026-05-23,16:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,3,3410.16,CUST295,Charlie,Brigade Road Flagship
ORD1082,INV-20082,2026-05-03,15:16:58,FACES CANADA Premium Cosmetics,FACES CANADA,Cosmetics,3,1062.77,CUST197,Charlie,Brigade Road Flagship
ORD1083,INV-20083,2026-05-15,14:16:58,DERMA CO Premium Cosmetics,DERMA CO,Cosmetics,4,4324.98,CUST136,Bob,Brigade Road Flagship
ORD1084,INV-20084,2026-05-27,07:16:58,FACES CANADA Premium Haircare,FACES CANADA,Haircare,4,2928.37,CUST104,Alice,Brigade Road Flagship
ORD1085,INV-20085,2026-05-30,13:16:58,COSRX Premium Cosmetics,COSRX,Cosmetics,2,577.95,CUST239,Alice,Brigade Road Flagship
ORD1086,INV-20086,2026-05-10,06:16:58,MAC Premium Cosmetics,MAC,Cosmetics,4,1125.4,CUST109,Alice,Brigade Road Flagship
ORD1087,INV-20087,2026-06-01,15:16:58,FACES CANADA Premium Skincare,FACES CANADA,Skincare,3,1261.06,CUST257,Charlie,Brigade Road Flagship
ORD1088,INV-20088,2026-05-21,09:16:58,COSRX Premium Haircare,COSRX,Haircare,3,4937.34,CUST149,Alice,Brigade Road Flagship
ORD1089,INV-20089,2026-05-08,12:16:58,DERMA CO Premium Fragrance,DERMA CO,Fragrance,2,2396.79,CUST164,Charlie,Brigade Road Flagship
ORD1090,INV-20090,2026-05-29,15:16:58,FACES CANADA Premium Skincare,FACES CANADA,Skincare,1,4093.18,CUST194,Charlie,Brigade Road Flagship
ORD1091,INV-20091,2026-05-29,11:16:58,PLUM Premium Cosmetics,PLUM,Cosmetics,1,1909.95,CUST197,Bob,Brigade Road Flagship
ORD1092,INV-20092,2026-05-11,11:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,2,772.37,CUST187,Alice,Brigade Road Flagship
ORD1093,INV-20093,2026-05-29,08:16:58,THE FACE SHOP Premium Haircare,THE FACE SHOP,Haircare,1,2457.21,CUST120,Charlie,Brigade Road Flagship
ORD1094,INV-20094,2026-05-10,08:16:58,SWISS BEAUTY Premium Cosmetics,SWISS BEAUTY,Cosmetics,1,1309.96,CUST144,Bob,Brigade Road Flagship
ORD1095,INV-20095,2026-05-20,12:16:58,MAC Premium Skincare,MAC,Skincare,1,3382.69,CUST148,Bob,Brigade Road Flagship
ORD1096,INV-20096,2026-05-16,16:16:58,MAYBELLINE Premium Skincare,MAYBELLINE,Skincare,1,758.96,CUST101,Alice,Brigade Road Flagship
ORD1097,INV-20097,2026-05-21,08:16:58,PLUM Premium Cosmetics,PLUM,Cosmetics,4,1884.4,CUST188,Charlie,Brigade Road Flagship
ORD1098,INV-20098,2026-05-07,11:16:58,DERMA CO Premium Haircare,DERMA CO,Haircare,4,2571.58,CUST214,Alice,Brigade Road Flagship
ORD1099,INV-20099,2026-05-10,15:16:58,MINIMALIST Premium Skincare,MINIMALIST,Skincare,3,3346.37,CUST287,Charlie,Brigade Road Flagship
ORD1100,INV-20100,2026-05-03,16:16:58,FACES CANADA Premium Haircare,FACES CANADA,Haircare,2,4890.79,CUST129,Charlie,Brigade Road Flagship
ORD1101,INV-20101,2026-05-30,07:16:58,LAKME Premium Cosmetics,LAKME,Cosmetics,3,3424.16,CUST288,Alice,Brigade Road Flagship
ORD1102,INV-20102,2026-05-17,13:16:58,FACES CANADA Premium Haircare,FACES CANADA,Haircare,1,4301.67,CUST295,Alice,Brigade Road Flagship
ORD1103,INV-20103,2026-05-16,11:16:58,MAYBELLINE Premium Cosmetics,MAYBELLINE,Cosmetics,3,4403.76,CUST151,Charlie,Brigade Road Flagship
ORD1104,INV-20104,2026-05-13,12:16:58,FACES CANADA Premium Haircare,FACES CANADA,Haircare,1,2669.51,CUST279,Alice,Brigade Road Flagship
ORD1105,INV-20105,2026-05-20,16:16:58,HUDA BEAUTY Premium Fragrance,HUDA BEAUTY,Fragrance,1,4903.02,CUST224,Alice,Brigade Road Flagship
ORD1106,INV-20106,2026-05-04,13:16:58,SWISS BEAUTY Premium Cosmetics,SWISS BEAUTY,Cosmetics,2,2975.07,CUST291,Alice,Brigade Road Flagship
ORD1107,INV-20107,2026-05-18,08:16:58,SWISS BEAUTY Premium Skincare,SWISS BEAUTY,Skincare,3,3067.39,CUST188,Charlie,Brigade Road Flagship
ORD1108,INV-20108,2026-05-05,08:16:58,SWISS BEAUTY Premium Skincare,SWISS BEAUTY,Skincare,4,4435.94,CUST151,Charlie,Brigade Road Flagship
ORD1109,INV-20109,2026-05-30,10:16:58,LAKME Premium Fragrance,LAKME,Fragrance,1,1049.87,CUST165,Alice,Brigade Road Flagship
ORD1110,INV-20110,2026-05-23,08:16:58,HUDA BEAUTY Premium Skincare,HUDA BEAUTY,Skincare,3,2392.49,CUST187,Bob,Brigade Road Flagship
ORD1111,INV-20111,2026-05-17,10:16:58,LAKME Premium Haircare,LAKME,Haircare,3,1767.69,CUST205,Alice,Brigade Road Flagship
ORD1112,INV-20112,2026-05-31,13:16:58,FACES CANADA Premium Skincare,FACES CANADA,Skincare,4,798.27,CUST133,Alice,Brigade Road Flagship
ORD1113,INV-20113,2026-05-09,12:16:58,HUDA BEAUTY Premium Cosmetics,HUDA BEAUTY,Cosmetics,2,4723.89,CUST196,Bob,Brigade Road Flagship
ORD1114,INV-20114,2026-05-28,13:16:58,DERMA CO Premium Haircare,DERMA CO,Haircare,4,1011.07,CUST210,Bob,Brigade Road Flagship
ORD1115,INV-20115,2026-05-15,07:16:58,MAC Premium Fragrance,MAC,Fragrance,4,3924.05,CUST138,Charlie,Brigade Road Flagship
ORD1116,INV-20116,2026-05-23,09:16:58,PLUM Premium Haircare,PLUM,Haircare,2,3482.81,CUST280,Alice,Brigade Road Flagship
ORD1117,INV-20117,2026-05-13,08:16:58,THE FACE SHOP Premium Haircare,THE FACE SHOP,Haircare,2,934.61,CUST284,Bob,Brigade Road Flagship
ORD1118,INV-20118,2026-05-25,15:16:58,COSRX Premium Cosmetics,COSRX,Cosmetics,4,2544.93,CUST228,Bob,Brigade Road Flagship
ORD1119,INV-20119,2026-05-19,13:16:58,FACES CANADA Premium Skincare,FACES CANADA,Skincare,3,1524.83,CUST193,Bob,Brigade Road Flagship
ORD1120,INV-20120,2026-06-02,16:16:58,SWISS BEAUTY Premium Fragrance,SWISS BEAUTY,Fragrance,3,4344.59,CUST210,Charlie,Brigade Road Flagship
ORD1121,INV-20121,2026-05-06,15:16:58,HUDA BEAUTY Premium Fragrance,HUDA BEAUTY,Fragrance,4,590.65,CUST137,Bob,Brigade Road Flagship
ORD1122,INV-20122,2026-05-27,13:16:58,FARMSTAY Premium Haircare,FARMSTAY,Haircare,4,2325.87,CUST228,Alice,Brigade Road Flagship
ORD1123,INV-20123,2026-06-01,08:16:58,MAC Premium Haircare,MAC,Haircare,3,2399.14,CUST258,Alice,Brigade Road Flagship
ORD1124,INV-20124,2026-05-22,13:16:58,MAYBELLINE Premium Cosmetics,MAYBELLINE,Cosmetics,3,3380.67,CUST142,Bob,Brigade Road Flagship
ORD1125,INV-20125,2026-05-23,10:16:58,THE FACE SHOP Premium Haircare,THE FACE SHOP,Haircare,4,1785.76,CUST230,Alice,Brigade Road Flagship
ORD1126,INV-20126,2026-05-05,10:16:58,DERMA CO Premium Cosmetics,DERMA CO,Cosmetics,1,2920.77,CUST163,Charlie,Brigade Road Flagship
ORD1127,INV-20127,2026-05-21,07:16:58,COSRX Premium Fragrance,COSRX,Fragrance,1,4329.76,CUST145,Alice,Brigade Road Flagship
ORD1128,INV-20128,2026-05-31,11:16:58,MAC Premium Cosmetics,MAC,Cosmetics,4,1819.16,CUST266,Alice,Brigade Road Flagship
ORD1129,INV-20129,2026-05-23,13:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,1,655.34,CUST161,Bob,Brigade Road Flagship
ORD1130,INV-20130,2026-05-30,06:16:58,MAC Premium Fragrance,MAC,Fragrance,4,3005.54,CUST214,Alice,Brigade Road Flagship
ORD1131,INV-20131,2026-05-31,08:16:58,MAC Premium Cosmetics,MAC,Cosmetics,2,1117.31,CUST113,Charlie,Brigade Road Flagship
ORD1132,INV-20132,2026-05-14,13:16:58,THE FACE SHOP Premium Haircare,THE FACE SHOP,Haircare,3,2830.29,CUST129,Charlie,Brigade Road Flagship
ORD1133,INV-20133,2026-05-23,09:16:58,PLUM Premium Haircare,PLUM,Haircare,3,1869.58,CUST256,Alice,Brigade Road Flagship
ORD1134,INV-20134,2026-05-25,10:16:58,LAKME Premium Skincare,LAKME,Skincare,2,3484.29,CUST146,Bob,Brigade Road Flagship
ORD1135,INV-20135,2026-05-04,06:16:58,SWISS BEAUTY Premium Haircare,SWISS BEAUTY,Haircare,2,2456.5,CUST275,Bob,Brigade Road Flagship
ORD1136,INV-20136,2026-05-27,14:16:58,MINIMALIST Premium Skincare,MINIMALIST,Skincare,2,889.05,CUST218,Charlie,Brigade Road Flagship
ORD1137,INV-20137,2026-05-07,10:16:58,FACES CANADA Premium Skincare,FACES CANADA,Skincare,2,2058.8,CUST222,Charlie,Brigade Road Flagship
ORD1138,INV-20138,2026-05-24,12:16:58,SWISS BEAUTY Premium Skincare,SWISS BEAUTY,Skincare,1,2597.56,CUST108,Charlie,Brigade Road Flagship
ORD1139,INV-20139,2026-05-21,11:16:58,HUDA BEAUTY Premium Cosmetics,HUDA BEAUTY,Cosmetics,1,796.66,CUST252,Charlie,Brigade Road Flagship
ORD1140,INV-20140,2026-05-11,13:16:58,DERMA CO Premium Skincare,DERMA CO,Skincare,3,968.26,CUST245,Alice,Brigade Road Flagship
ORD1141,INV-20141,2026-05-26,10:16:58,LAKME Premium Haircare,LAKME,Haircare,4,4445.02,CUST255,Bob,Brigade Road Flagship
ORD1142,INV-20142,2026-05-07,15:16:58,HUDA BEAUTY Premium Fragrance,HUDA BEAUTY,Fragrance,2,1644.2,CUST118,Bob,Brigade Road Flagship
ORD1143,INV-20143,2026-06-01,07:16:58,FACES CANADA Premium Fragrance,FACES CANADA,Fragrance,4,4513.6,CUST197,Alice,Brigade Road Flagship
ORD1144,INV-20144,2026-05-26,06:16:58,HUDA BEAUTY Premium Cosmetics,HUDA BEAUTY,Cosmetics,2,517.08,CUST141,Bob,Brigade Road Flagship
ORD1145,INV-20145,2026-05-12,09:16:58,SWISS BEAUTY Premium Fragrance,SWISS BEAUTY,Fragrance,4,1450.59,CUST147,Alice,Brigade Road Flagship
ORD1146,INV-20146,2026-05-23,14:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,4,4416.62,CUST135,Bob,Brigade Road Flagship
ORD1147,INV-20147,2026-05-09,07:16:58,THE FACE SHOP Premium Skincare,THE FACE SHOP,Skincare,3,1677.94,CUST295,Bob,Brigade Road Flagship
ORD1148,INV-20148,2026-05-18,10:16:58,MAC Premium Cosmetics,MAC,Cosmetics,1,557.01,CUST186,Charlie,Brigade Road Flagship
ORD1149,INV-20149,2026-05-21,14:16:58,FACES CANADA Premium Haircare,FACES CANADA,Haircare,4,1487.06,CUST287,Bob,Brigade Road Flagship
ORD1150,INV-20150,2026-05-21,15:16:58,SWISS BEAUTY Premium Skincare,SWISS BEAUTY,Skincare,4,975.57,CUST187,Bob,Brigade Road Flagship
ORD1151,INV-20151,2026-05-16,12:16:58,PLUM Premium Haircare,PLUM,Haircare,4,1351.24,CUST174,Alice,Brigade Road Flagship
ORD1152,INV-20152,2026-05-19,15:16:58,LAKME Premium Skincare,LAKME,Skincare,2,4798.31,CUST279,Charlie,Brigade Road Flagship
ORD1153,INV-20153,2026-05-08,06:16:58,COSRX Premium Skincare,COSRX,Skincare,3,3069.86,CUST116,Charlie,Brigade Road Flagship
ORD1154,INV-20154,2026-05-18,07:16:58,MINIMALIST Premium Cosmetics,MINIMALIST,Cosmetics,3,774.88,CUST189,Charlie,Brigade Road Flagship
ORD1155,INV-20155,2026-05-29,13:16:58,MINIMALIST Premium Fragrance,MINIMALIST,Fragrance,4,1492.53,CUST168,Alice,Brigade Road Flagship
ORD1156,INV-20156,2026-05-03,13:16:58,COSRX Premium Cosmetics,COSRX,Cosmetics,4,4190.16,CUST191,Alice,Brigade Road Flagship
ORD1157,INV-20157,2026-05-26,15:16:58,HUDA BEAUTY Premium Skincare,HUDA BEAUTY,Skincare,2,3230.99,CUST213,Charlie,Brigade Road Flagship
ORD1158,INV-20158,2026-05-11,14:16:58,MINIMALIST Premium Skincare,MINIMALIST,Skincare,1,1180.6,CUST224,Alice,Brigade Road Flagship
ORD1159,INV-20159,2026-05-22,10:16:58,PLUM Premium Skincare,PLUM,Skincare,3,1117.07,CUST121,Bob,Brigade Road Flagship
ORD1160,INV-20160,2026-05-22,14:16:58,FACES CANADA Premium Skincare,FACES CANADA,Skincare,2,2843.59,CUST295,Bob,Brigade Road Flagship
ORD1161,INV-20161,2026-05-25,06:16:58,PLUM Premium Haircare,PLUM,Haircare,2,2447.98,CUST114,Bob,Brigade Road Flagship
ORD1162,INV-20162,2026-05-28,11:16:58,COSRX Premium Cosmetics,COSRX,Cosmetics,4,3815.26,CUST162,Charlie,Brigade Road Flagship
ORD1163,INV-20163,2026-05-15,07:16:58,DERMA CO Premium Skincare,DERMA CO,Skincare,1,3433.46,CUST262,Bob,Brigade Road Flagship
ORD1164,INV-20164,2026-05-11,15:16:58,FARMSTAY Premium Skincare,FARMSTAY,Skincare,4,3787.0,CUST151,Charlie,Brigade Road Flagship
ORD1165,INV-20165,2026-05-30,07:16:58,FARMSTAY Premium Fragrance,FARMSTAY,Fragrance,4,2573.12,CUST218,Alice,Brigade Road Flagship
ORD1166,INV-20166,2026-05-11,07:16:58,HUDA BEAUTY Premium Skincare,HUDA BEAUTY,Skincare,3,2150.26,CUST235,Charlie,Brigade Road Flagship
ORD1167,INV-20167,2026-05-09,12:16:58,MAYBELLINE Premium Cosmetics,MAYBELLINE,Cosmetics,3,3566.77,CUST229,Alice,Brigade Road Flagship
ORD1168,INV-20168,2026-05-07,07:16:58,MAYBELLINE Premium Skincare,MAYBELLINE,Skincare,4,2742.16,CUST175,Alice,Brigade Road Flagship
ORD1169,INV-20169,2026-05-13,09:16:58,SWISS BEAUTY Premium Haircare,SWISS BEAUTY,Haircare,3,634.33,CUST138,Charlie,Brigade Road Flagship
ORD1170,INV-20170,2026-05-07,15:16:58,LAKME Premium Haircare,LAKME,Haircare,3,629.89,CUST152,Alice,Brigade Road Flagship
ORD1171,INV-20171,2026-05-18,12:16:58,HUDA BEAUTY Premium Fragrance,HUDA BEAUTY,Fragrance,4,2420.92,CUST266,Alice,Brigade Road Flagship
ORD1172,INV-20172,2026-06-02,14:16:58,MAYBELLINE Premium Cosmetics,MAYBELLINE,Cosmetics,1,644.38,CUST265,Bob,Brigade Road Flagship
